"hosts","viruses","prop_false"
1012,3649,0.0914403575111722
1112,3558,0.0990449239476476
1177,3966,0.0714739517153749
539,2514,0.16010101010101
982,3730,0.0990457387298453
1525,5338,0.00909514925373134
525,2341,0.173190348525469
941,3693,0.092292089249493
1006,3702,0.0890619708770741
405,1689,0.253333333333333
706,3196,0.129586260733802
1396,4703,0.0297268344938404
904,3454,0.103386167146974
1236,4382,0.0555078683834048
621,2590,0.160152526215443
960,3319,0.119865571321882
447,1493,0.304803493449782
1397,4808,0.0299741602067184
1542,5363,0.00396178047075268
238,860,0.39031339031339
179,1201,0.381889763779528
577,2325,0.181917808219178
974,3703,0.0840932117527862
380,1427,0.273747841105354
667,2767,0.165698972755694
397,1572,0.281803542673108
606,2369,0.193652501344809
72,416,0.519061583577713
613,2511,0.173490276356192
310,1362,0.345238095238095
624,2653,0.164109716410972
463,2045,0.227954409118176
836,3102,0.128331283312833
546,2249,0.193636862314866
1243,4739,0.034555526246373
539,2387,0.183695076760191
1485,5269,0.00618164526866383
606,2372,0.186680650235973
412,1538,0.282009724473258
888,3136,0.12286282306163
606,2114,0.209302325581395
1134,4043,0.0638629283489096
293,1251,0.294634146341463
1117,4181,0.0640143583607539
422,1518,0.244407622203811
899,3713,0.0967202141900937
1516,5315,0.0107627515208236
1568,5389,0.00185701021355622
701,2890,0.149455337690632
953,3254,0.107938991005084
641,2648,0.183000464468184
345,1710,0.259395725865881
510,2224,0.191343963553531
1063,4078,0.0684049079754602
141,855,0.379166666666667
1223,4440,0.0447718900538396
116,439,0.474934036939314
1549,5345,0.00653594771241828
922,3651,0.0965635738831615
1193,4338,0.0589244851258581
547,2697,0.152224824355972
176,945,0.378205128205128
786,2998,0.133939644481191
528,1819,0.235087719298246
162,759,0.407599309153713
1416,5005,0.0217065868263473
1534,5343,0.00630399252860148
433,1764,0.275124732715609
198,1193,0.347368421052632
1062,4070,0.0704615384615385
1116,4455,0.054205085219335
600,2839,0.15236818588025
1351,4893,0.0263292433537833
836,3084,0.125507717303006
318,1190,0.331161780673181
825,3216,0.127314814814815
851,3729,0.0904237570904237
396,1707,0.247041420118343
237,1310,0.291139240506329
1297,4792,0.0368257261410788
940,3351,0.114852225963337
931,3494,0.114620298083747
945,3596,0.0989277066758907
571,2085,0.210104744300678
1423,4910,0.0291730086250634
1447,4936,0.0311714429361488
134,686,0.414383561643836
583,2799,0.161887957653286
1472,5175,0.0189675870348139
1478,5110,0.0149436550710436
388,1596,0.284219001610306
676,2924,0.139991463935126
186,1016,0.330498177399757
1240,4619,0.0516318887105404
1254,4724,0.0410634377467755
728,2922,0.149508756941478
205,783,0.416666666666667
1046,4218,0.0613333333333334
70,483,0.45933014354067
1457,5070,0.011166253101737
461,1801,0.248266296809986
131,790,0.378254211332312
1119,4240,0.0542865618510827
482,2326,0.195201744820065
132,917,0.372282608695652
723,3079,0.125255832992223
833,3699,0.103355704697987
858,3452,0.10306612486147
743,3007,0.134831460674157
1244,4767,0.0355462624150549
588,2112,0.210836277974087
1229,4111,0.063777845590479
649,2507,0.172118772018118
563,2493,0.198525798525799
549,2102,0.214457831325301
1062,4195,0.0626662725391665
836,3318,0.111613876319759
1073,3928,0.0870248193528118
1067,3990,0.0719221105527639
990,3801,0.0872263966024175
890,3510,0.102993585174626
785,2915,0.142487046632124
474,2075,0.235047846889952
528,2373,0.204831932773109
630,2783,0.151898734177215
1590,5457,0.000457665903890181
1357,4772,0.0308981408745745
172,867,0.354519774011299
1330,4704,0.0430079155672823
1388,4875,0.02344152498712
108,445,0.383202099737533
196,1189,0.324847250509165
351,1712,0.257347670250896
367,1914,0.248888888888889
1303,4664,0.0355029585798816
1167,4134,0.0693606755126659
917,3776,0.0903375248180013
1313,4338,0.0460910151691949
1350,4924,0.0339281226438803
1460,4946,0.0232675771370764
1058,4270,0.0665891247455656
1131,4041,0.0731933292155652
1127,4104,0.0621175030599755
854,3223,0.109417741305197
