"","Host","Parasite","ParasiteFull","group","locality","hostgroup"
"291","Notothenia macrophthalma","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"292","Notothenia neglecta","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"293","Notothenia neglecta","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"294","Notothenia nudifrons","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"295","Notothenia rossii","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"296","Notothenia rossii","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"297","Notothenia rossii","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"298","Notothenia squamifrons","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"299","Nototheniops larseni","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"300","Lepidonotothen nudifrons","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"301","Nototheniops nybelini","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"302","Pagothenia bernacchii","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"303","Pagothenia bernacchii","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"304","Pagothenia hansoni","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"305","Parachaenichthys charcoti","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"306","Parachaenichthys charcoti","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"307","Parachaenichthys georgianus","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"309","Patagonotothen brevicauda","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"310","Leucocarbo atriceps","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"311","Physeter macrocephalus","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Mammalia"
"312","Pogonophryne permitini","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"313","Prionodraco evansii","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"314","Pseudochaenichthys georgianus","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"315","Pseudochaenichthys georgianus","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"316","Pygoscelis papua","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Aves"
"317","Racovitzia glacialis","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"318","Trematomus bernacchii","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"319","Trematomus eulepidotus","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"320","Trematomus hansoni","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"321","Trematomus lepidorhinus","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"322","Trematomus loennbergii","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"323","Trematomus newnesi","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"324","Trematomus pennellii","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"325","Trematomus scotti","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"326","Waldeckia obesa","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"328","Chaenocephalus aceratus","Corynosoma evae","Corynosoma evae Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"329","Hydrurga leptonyx","Corynosoma evae","Corynosoma evae Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Mammalia"
"330","Hydrurga leptonyx","Corynosoma evae","Corynosoma evae Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Mammalia"
"331","Otaria flavescens","Corynosoma evae","Corynosoma evae Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Mammalia"
"332","Parachaenichthys georgianus","Corynosoma evae","Corynosoma evae Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"333","Pseudochaenichthys georgianus","Corynosoma evae","Corynosoma evae Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"334","Bovallia gigantea","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"335","Chaenocephalus aceratus","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"336","Chaenocephalus aceratus","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"337","Chionis albus","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"339","Cryodraco antarcticus","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"340","Dissostichus eleginoides","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"341","Dissostichus mawsoni","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"342","Eurymera monticosa","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"343","Gobionotothen gibberifrons","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"344","Gondogeneia antarctica","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"345","Harpagifer antarcticus","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"346","Harpagifer antarcticus","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"347","Hydrurga leptonyx","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Mammalia"
"348","Leptonychotes weddellii","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"349","Lobodon carcinophaga","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"350","Lycodichthys antarcticus","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"351","Lycodichthys dearborni","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"352","Muraenolepis marmoratus","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"353","Notothenia acuta","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"354","Notothenia coriiceps","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"355","Notothenia gibberifrons","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"356","Notothenia gibberifrons","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"357","Notothenia neglecta","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"358","Notothenia neglecta","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"359","Notothenia nudifrons","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"360","Notothenia rossii","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"361","Notothenia rossii","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"362","Notothenia squamifrons","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"363","Nototheniops mizops","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"364","Lepidonotothen nudifrons","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"365","Ommatophoca rossii","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"366","Pagothenia bernacchii","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"367","Pagothenia bernacchii","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"368","Pagothenia borchgrevinki","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"369","Pagothenia hansoni","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"370","Pagothenia hansoni","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"371","Parachaenichthys charcoti","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"372","Parachaenichthys charcoti","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"373","Parachaenichthys georgianus","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"374","Leucocarbo atriceps","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"375","Pleuragramma antarcticum","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"376","Pontogeneiella brevicornis","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"377","Prostebbingia brevicornis","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"378","Pseudochaenichthys georgianus","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"379","Pygoscelis adeliae","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Aves"
"380","Trematomus bernacchii","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"381","Trematomus bernacchii","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"382","Pseudotrematomus centronotus","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"383","Trematomus newnesi","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"384","Trematomus newnesi","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"385","Waldeckia obesa","Corynosoma hamanni","Corynosoma hamanni (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"386","Hydrurga leptonyx","Corynosoma hannae","Corynosoma hannae Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Mammalia"
"387","Physeter macrocephalus","Corynosoma mirabilis","Corynosoma mirabilis Skryabin, 1966","Acanthocephala","Antarctic Ocean","Mammalia"
"388","Arctocephalus gazella","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Mammalia"
"389","Artedidraco loennbergi","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"390","Stercorarius antarcticus","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean",NA
"391","Chaenocephalus aceratus","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"392","Chaenocephalus aceratus","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"393","Champsocephalus gunnari","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"394","Cheirimedon femoratus","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean",NA
"395","Chionis albus","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean",NA
"397","Cryodraco antarcticus","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"398","Dissostichus eleginoides","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"399","Dissostichus mawsoni","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"400","Harpagifer antarcticus","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"401","Harpagifer antarcticus","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"402","Hydrurga leptonyx","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Mammalia"
"403","Larus dominicanus","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Aves"
"404","Leptonychotes weddellii","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean",NA
"405","Lobodon carcinophaga","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean",NA
"406","Lycodichthys antarcticus","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"407","Lycodichthys dearborni","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"408","Mirounga leonina","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Mammalia"
"409","Notothenia coriiceps","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"410","Notothenia coriiceps","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"411","Notothenia gibberifrons","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean",NA
"412","Notothenia gibberifrons","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean",NA
"413","Notothenia neglecta","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"414","Notothenia neglecta","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"415","Notothenia nudifrons","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean",NA
"416","Notothenia rossii","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean",NA
"417","Notothenia rossii","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean",NA
"418","Lepidonotothen nudifrons","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"419","Nototheniops nybelini","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"420","Ommatophoca rossii","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean",NA
"421","Pagothenia bernacchii","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean",NA
"422","Pagothenia bernacchii","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean",NA
"423","Pagothenia borchgrevinki","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"424","Pagothenia hansoni","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean",NA
"425","Pagothenia hansoni","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean",NA
"426","Parachaenichthys charcoti","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"427","Parachaenichthys charcoti","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"428","Leucocarbo atriceps","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean",NA
"430","Pygoscelis adeliae","Corynosoma pseudohamanni","Corynosoma pseudohamanni Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Aves"
